dataset,animal,session,model,model_id,model_seed,anchor_condition,replicate,main_metric,supp_replay_metric,absolute_difference,tolerance,prediction_path,prediction_exists,status,error
Allen VBN,506940,1044016459,MM-RVD,MM_RVD_A9_SELECTED_R6,0,U30,0,0.9993131868131868,0.9993131868131868,0.0,1e-10,<PROJECT_ROOT>\mmrvd_r6_retrospective_a7s_a9r_20260815_131101\04_r6_screening_predictions\allen_vbn\1044016459\MM_RVD_A9_SELECTED_R6\seed0\seed0__U30__rep0.csv,True,PASS,
Allen VBN,506940,1044016459,MM-RVD,MM_RVD_A9_SELECTED_R6,0,U30,1,0.9986893564950332,0.9986893564950333,1.1102230246251565e-16,1e-10,<PROJECT_ROOT>\mmrvd_r6_retrospective_a7s_a9r_20260815_131101\04_r6_screening_predictions\allen_vbn\1044016459\MM_RVD_A9_SELECTED_R6\seed0\seed0__U30__rep1.csv,True,PASS,
Allen VBN,506940,1044016459,MM-RVD,MM_RVD_A9_SELECTED_R6,0,U30,2,0.9993761696818464,0.9993761696818465,1.1102230246251565e-16,1e-10,<PROJECT_ROOT>\mmrvd_r6_retrospective_a7s_a9r_20260815_131101\04_r6_screening_predictions\allen_vbn\1044016459\MM_RVD_A9_SELECTED_R6\seed0\seed0__U30__rep2.csv,True,PASS,
Allen VBN,506940,1044016459,MM-RVD,MM_RVD_A9_SELECTED_R6,0,U30,3,0.999259807549963,0.999259807549963,0.0,1e-10,<PROJECT_ROOT>\mmrvd_r6_retrospective_a7s_a9r_20260815_131101\04_r6_screening_predictions\allen_vbn\1044016459\MM_RVD_A9_SELECTED_R6\seed0\seed0__U30__rep3.csv,True,PASS,
Allen VBN,506940,1044016459,MM-RVD,MM_RVD_A9_SELECTED_R6,0,U30,4,1.0,1.0,0.0,1e-10,<PROJECT_ROOT>\mmrvd_r6_retrospective_a7s_a9r_20260815_131101\04_r6_screening_predictions\allen_vbn\1044016459\MM_RVD_A9_SELECTED_R6\seed0\seed0__U30__rep4.csv,True,PASS,
Allen VBN,506940,1044016459,MM-RVD,MM_RVD_A9_SELECTED_R6,0,T5,0,0.9993131868131868,0.9993131868131868,0.0,1e-10,<PROJECT_ROOT>\mmrvd_r6_retrospective_a7s_a9r_20260815_131101\04_r6_screening_predictions\allen_vbn\1044016459\MM_RVD_A9_SELECTED_R6\seed0\seed0__T5__rep0.csv,True,PASS,
Allen VBN,506940,1044016459,MM-RVD,MM_RVD_A9_SELECTED_R6,0,T5,1,0.9886025078770933,0.9886025078770931,1.1102230246251565e-16,1e-10,<PROJECT_ROOT>\mmrvd_r6_retrospective_a7s_a9r_20260815_131101\04_r6_screening_predictions\allen_vbn\1044016459\MM_RVD_A9_SELECTED_R6\seed0\seed0__T5__rep1.csv,True,PASS,
Allen VBN,506940,1044016459,MM-RVD,MM_RVD_A9_SELECTED_R6,0,T5,2,1.0,1.0,0.0,1e-10,<PROJECT_ROOT>\mmrvd_r6_retrospective_a7s_a9r_20260815_131101\04_r6_screening_predictions\allen_vbn\1044016459\MM_RVD_A9_SELECTED_R6\seed0\seed0__T5__rep2.csv,True,PASS,
Allen VBN,506940,1044016459,MM-RVD,MM_RVD_A9_SELECTED_R6,0,T5,3,0.9993131868131868,0.9993131868131868,0.0,1e-10,<PROJECT_ROOT>\mmrvd_r6_retrospective_a7s_a9r_20260815_131101\04_r6_screening_predictions\allen_vbn\1044016459\MM_RVD_A9_SELECTED_R6\seed0\seed0__T5__rep3.csv,True,PASS,
Allen VBN,506940,1044016459,MM-RVD,MM_RVD_A9_SELECTED_R6,0,T5,4,0.9972623508581832,0.9972623508581832,0.0,1e-10,<PROJECT_ROOT>\mmrvd_r6_retrospective_a7s_a9r_20260815_131101\04_r6_screening_predictions\allen_vbn\1044016459\MM_RVD_A9_SELECTED_R6\seed0\seed0__T5__rep4.csv,True,PASS,
