job_id,dataset,animal,session,model,model_id,model_seed,severity_type,severity_value,severity_unit,replicate,is_anchor,mask_source,planned_status,status,start_time,end_time,runtime_sec,output_exists,result_hash,error_message
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|CLEAN|0,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,CLEAN_REFERENCE,0.0,none,0,False,R4_CLEAN_REFERENCE,PENDING,DONE,2026-09-03T13:08:04.358219+00:00,2026-09-03T13:08:04.491619+00:00,0.0138995999586768,True,09d8aa53d77c9948c410ff0e6fa3108fea7eb884e71cfebc30b2715c2b132218,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.1|0,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.1,proportion,0,False,NEW_SUPP_S1_FIXED_SEED,PENDING,DONE,2026-09-03T13:16:09.411076+00:00,2026-09-03T13:16:19.664263+00:00,10.105525000020862,True,9039da0d8298a6589771b152c246b29f66ab52854d5f314cb42e9cdce69f92a8,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.1|1,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.1,proportion,1,False,NEW_SUPP_S1_FIXED_SEED,PENDING,DONE,2026-09-03T13:16:19.829593+00:00,2026-09-03T13:16:29.947638+00:00,9.98490949999541,True,9a518d2a8612c7258e5aa5d4bd38689d726d8c3e7c6d9021246d3217391b3eef,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.1|2,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.1,proportion,2,False,NEW_SUPP_S1_FIXED_SEED,PENDING,DONE,2026-09-03T13:16:30.104260+00:00,2026-09-03T13:16:40.054176+00:00,9.816490099998193,True,b5ca6d519fa7248c9ecc0c44e16f6bdfb53bf1ee8d866a8bfb24ad60501a63d9,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.1|3,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.1,proportion,3,False,NEW_SUPP_S1_FIXED_SEED,PENDING,DONE,2026-09-03T13:16:40.208899+00:00,2026-09-03T13:16:50.525319+00:00,10.18194629997015,True,1fa75277e5f930947188e68faa9207c40fb7f96d2edaadd959f82f104b8cd4a0,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.1|4,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.1,proportion,4,False,NEW_SUPP_S1_FIXED_SEED,PENDING,DONE,2026-09-03T13:16:50.681178+00:00,2026-09-03T13:17:00.688735+00:00,9.862151000008453,True,c0922477d44d3ab6aa4f4dc8024c335950371e5696f10a752dbda4ab13dcd283,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.2|0,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.2,proportion,0,False,NEW_SUPP_S1_FIXED_SEED,PENDING,DONE,2026-09-03T13:17:00.875667+00:00,2026-09-03T13:17:11.029513+00:00,10.041953400010245,True,0299d8111387b225b19ed884a35f8b7a3452249738036d57b07c329cdcabeff3,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.2|1,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.2,proportion,1,False,NEW_SUPP_S1_FIXED_SEED,PENDING,DONE,2026-09-03T13:17:11.203415+00:00,2026-09-03T13:17:21.541135+00:00,10.216377999982797,True,8d99a5baa12f785b2304f4c46e74ccdc965c180762ae840d6e89147dc5da8ce1,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.2|2,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.2,proportion,2,False,NEW_SUPP_S1_FIXED_SEED,PENDING,DONE,2026-09-03T13:17:21.707210+00:00,2026-09-03T13:17:31.820220+00:00,9.966799799993169,True,fe1c76d88de871ad7425364d9b6c6bf7b8a0c09d1c7bdb51bef3f77dce45f283,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.2|3,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.2,proportion,3,False,NEW_SUPP_S1_FIXED_SEED,PENDING,DONE,2026-09-03T13:17:32.025509+00:00,2026-09-03T13:17:41.569668+00:00,9.42069040000206,True,affba6ad4e1f0911446aaa80645e1d3e65fb2e50c523797c615477ccad298f73,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.2|4,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.2,proportion,4,False,NEW_SUPP_S1_FIXED_SEED,PENDING,DONE,2026-09-03T13:17:41.746359+00:00,2026-09-03T13:17:51.839869+00:00,9.92977459996473,True,d455602c52ebfba06146500103e1a1ead82e2811d8d061f2efad3073213c9da8,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.3|0,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.3,proportion,0,True,MAIN_FROZEN_U30,PENDING,DONE,2026-09-03T13:08:27.577305+00:00,2026-09-03T13:08:27.727965+00:00,0.0179984999704174,True,6ee60653f18d8d8ef97e7ff40b89b7afea9bdeb751d258144c78005c25dd9276,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.3|1,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.3,proportion,1,True,MAIN_FROZEN_U30,PENDING,DONE,2026-09-03T13:08:27.875941+00:00,2026-09-03T13:08:28.020465+00:00,0.0135383000015281,True,4201d9a23a2f5bd5613a4ab71f6d1df1cb86c2fb771f9e879cbbb71ce6715802,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.3|2,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.3,proportion,2,True,MAIN_FROZEN_U30,PENDING,DONE,2026-09-03T13:08:28.162608+00:00,2026-09-03T13:08:28.309584+00:00,0.0137011000188067,True,5f34be25286a90589270951e448be50b53c0ae8cecc3612dbda8421b0c6962da,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.3|3,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.3,proportion,3,True,MAIN_FROZEN_U30,PENDING,DONE,2026-09-03T13:08:28.471631+00:00,2026-09-03T13:08:28.602150+00:00,0.0188910000142641,True,f0cfa9c81da114fd313ec250ac570d7da15aa5dec323e835af0b002e5dd68a1e,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.3|4,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.3,proportion,4,True,MAIN_FROZEN_U30,PENDING,DONE,2026-09-03T13:08:28.760356+00:00,2026-09-03T13:08:28.916009+00:00,0.0133702000021003,True,ef0c8dbd998b36d6cbe9cd184a6a265731fe3ac463e158844c578fa48e704c8d,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.4|0,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.4,proportion,0,False,NEW_SUPP_S1_FIXED_SEED,PENDING,DONE,2026-09-03T13:17:52.006298+00:00,2026-09-03T13:18:02.413415+00:00,10.263077999989036,True,2eefe81e01f442368655f691e0939fffaebb66685264548981840b5c9e5e4dfa,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.4|1,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.4,proportion,1,False,NEW_SUPP_S1_FIXED_SEED,PENDING,DONE,2026-09-03T13:18:02.586762+00:00,2026-09-03T13:18:12.771864+00:00,10.029642099980263,True,51c6c6898b7b5d8f78eb9af99ac6b48678b2486187879ddc897d01dc823a015d,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.4|2,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.4,proportion,2,False,NEW_SUPP_S1_FIXED_SEED,PENDING,DONE,2026-09-03T13:18:12.926682+00:00,2026-09-03T13:18:23.331033+00:00,10.27065689995652,True,7951ffa3e3e7c05659277cb23d7b51082135b47d1131ba249eb808bcdd38be8d,nan
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.4|3,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.4,proportion,3,False,NEW_SUPP_S1_FIXED_SEED,PENDING,DONE,2026-09-03T13:18:23.487109+00:00,2026-09-03T13:18:33.992608+00:00,10.350984499964396,True,24152cc9e18850de33129caa440826b79c82bbb39cd15aeab08200cc02e6147b,nan
