job_id,dataset,animal,session,model,model_id,model_seed,severity_type,severity_value,severity_unit,replicate,is_anchor,mask_source,planned_status
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|CLEAN|0,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,CLEAN_REFERENCE,0,none,0,False,R4_CLEAN_REFERENCE,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.1|0,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.1,proportion,0,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.1|1,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.1,proportion,1,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.1|2,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.1,proportion,2,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.1|3,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.1,proportion,3,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.1|4,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.1,proportion,4,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.2|0,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.2,proportion,0,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.2|1,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.2,proportion,1,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.2|2,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.2,proportion,2,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.2|3,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.2,proportion,3,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.2|4,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.2,proportion,4,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.3|0,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.3,proportion,0,True,MAIN_FROZEN_U30,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.3|1,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.3,proportion,1,True,MAIN_FROZEN_U30,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.3|2,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.3,proportion,2,True,MAIN_FROZEN_U30,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.3|3,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.3,proportion,3,True,MAIN_FROZEN_U30,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.3|4,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.3,proportion,4,True,MAIN_FROZEN_U30,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.4|0,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.4,proportion,0,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.4|1,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.4,proportion,1,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.4|2,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.4,proportion,2,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.4|3,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.4,proportion,3,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.4|4,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.4,proportion,4,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.5|0,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.5,proportion,0,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.5|1,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.5,proportion,1,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.5|2,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.5,proportion,2,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.5|3,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.5,proportion,3,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|UNIT|0.5|4,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,UNIT,0.5,proportion,4,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|TEMPORAL|2|0,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,TEMPORAL,2,bins,0,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|TEMPORAL|2|1,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,TEMPORAL,2,bins,1,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|TEMPORAL|2|2,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,TEMPORAL,2,bins,2,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|TEMPORAL|2|3,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,TEMPORAL,2,bins,3,False,NEW_SUPP_S1_FIXED_SEED,PENDING
Allen VBN|1069458330|MM_RVD_A9_SELECTED_R6|0|TEMPORAL|2|4,Allen VBN,544837,1069458330,MM-RVD,MM_RVD_A9_SELECTED_R6,0,TEMPORAL,2,bins,4,False,NEW_SUPP_S1_FIXED_SEED,PENDING
