dataset,session,animal,severity_type,severity_value,severity_unit,replicate,mask_seed,n_units_total,n_units_missing,n_bins_total,n_bins_missing,mask_source,mask_file,mask_hash,protocol_hash
Allen VBN,1069458330,544837,UNIT,0.3,proportion,0,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_U30,,d38a4fc3155071ae4b9758b0c1fcc0d2f8a6a375e864963d38341b677b4b3afd,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.3,proportion,1,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_U30,,b9a4836956b43b44bf2b315683486f842677b7fbdc6ac0817aacf868df5ff59e,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.3,proportion,2,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_U30,,acc7e585963de65f2831a67f5542e42557bb62f7f8a97cc2a01852904bdf6020,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.3,proportion,3,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_U30,,32336a36832ec13cc9775760742552abe2e8515b330e74ce8937143d4f6e3ca5,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.3,proportion,4,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_U30,,cc8112edb2859e130a830f4d26b4eb69beb144faa446f830767521b17eb56e9e,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.1,proportion,0,2990315068,,132.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,b8cd372807cba1990fdfc2c9571d0ab5800aba0652730c340ddec46fba5d3102,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.1,proportion,1,2620187472,,132.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,14b2394daa1bbca1c655468ca33b42693c62788ea9ad44efe9e07f15f5c6a44e,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.1,proportion,2,2477812519,,132.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,10128729afa5eb96984b2ffe18b624e9dcaf74489c117f9c4922fd175a5a1147,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.1,proportion,3,2542796400,,132.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,cbbd89c58bb8e0bb7057dde280a470b56c3c82db8af6dc9da792b311dd60738a,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1069458330,544837,UNIT,0.1,proportion,4,979345651,,132.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,b2da407b7a71bbfc10f7cf919efe2b2f9dba419f98861b20a92b83ed4610ee46,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
