dataset_public,session_id,animal_id,n_units
Allen VBN,1069458330,544837,1318
Allen VBN,1072567062,546507,1311
Allen VBN,1104289498,563497,1103
Allen VBN,1104058216,563497,1405
Allen VBN,1105798776,567286,1281
Allen VBN,1108531612,570301,1344
Allen VBN,1044016459,506940,2365
Allen VBN,1044385384,524761,2179
Allen VBN,1044389060,510589,1645
Allen VBN,1044594870,524761,2103
Allen VBN,1049514117,521466,1925
Allen VBN,1051155866,524760,1922
Allen VBN,1053718935,527749,2508
Allen VBN,1056495334,531237,2744
