dataset,variant,endpoint,mean_delta,ci_low,ci_high,n_animals,bootstrap_n,seed
Allen VBN,A1,B5,0.0026007851898715204,-6.141662282072094e-05,0.00612618233455069,12,5000,1306
Allen VBN,A1,CLEAN,0.0019186755463242212,0.0009446039078921159,0.003133417097955964,12,5000,1306
Allen VBN,A1,Five-Missing Mean,0.0036722910274420103,0.0016488556745163816,0.006235301899974514,12,5000,1306
Allen VBN,A1,Five-Missing Worst,0.0050030573456652195,0.0009568278946055938,0.009933120256764122,12,5000,1306
Allen VBN,A1,J30-5,0.007678562223741377,0.0035828692539142597,0.013064863937403439,12,5000,1306
Allen VBN,A1,SW-U30,0.0007112632623680523,0.00014679033183138078,0.0013879005757901307,12,5000,1306
Allen VBN,A1,T5,0.0037417769879349028,0.002261947087944648,0.005351266129974159,12,5000,1306
Allen VBN,A1,U30,0.003629067473294061,0.0016161097445532022,0.0066754697330698885,12,5000,1306
Allen VBN,A2,B5,0.016696211554936956,0.007870853137158925,0.026679384111374747,12,5000,1306
Allen VBN,A2,CLEAN,0.021534272249236003,0.012987811455556946,0.031055281436055546,12,5000,1306
Allen VBN,A2,Five-Missing Mean,0.023717469534061425,0.013572991629510603,0.034675371100166295,12,5000,1306
Allen VBN,A2,Five-Missing Worst,0.027128812651175203,0.013767023315033404,0.04200321197676632,12,5000,1306
Allen VBN,A2,J30-5,0.029959220073064712,0.01721771121116207,0.04495015279919296,12,5000,1306
Allen VBN,A2,SW-U30,0.021074359412563883,0.01259671892087619,0.03058363595178923,12,5000,1306
Allen VBN,A2,T5,0.026875679572459052,0.017378588383798334,0.03756506606909589,12,5000,1306
Allen VBN,A2,U30,0.023981877057282466,0.01355871764088797,0.036257203953687915,12,5000,1306
Allen VBN,A3,B5,0.0,0.0,0.0,12,5000,1306
Allen VBN,A3,CLEAN,0.004606192922515739,0.0030819642612839792,0.006393465661326135,12,5000,1306
Allen VBN,A3,Five-Missing Mean,0.008493076832433203,0.005964551750559605,0.011588591376670988,12,5000,1306
Allen VBN,A3,Five-Missing Worst,0.013641360505347672,0.008066227030718577,0.020982484254659817,12,5000,1306
Allen VBN,A3,J30-5,0.017873008045094372,0.011109824948976032,0.0268260387396065,12,5000,1306
Allen VBN,A3,SW-U30,0.005027230279262264,0.0031784943085910377,0.007403859969954026,12,5000,1306
Allen VBN,A3,T5,0.011018657216280725,0.007745052562873166,0.015284678147220898,12,5000,1306
Allen VBN,A3,U30,0.008546488621528658,0.006141522121789321,0.011217667784548602,12,5000,1306
Allen VBN,A4,B5,-0.006224760179005325,-0.008731277011154073,-0.003940152221420632,12,5000,1306
Allen VBN,A4,CLEAN,0.0,0.0,0.0,12,5000,1306
Allen VBN,A4,Five-Missing Mean,0.0029498750841278018,0.0007789419206394111,0.005871110899553665,12,5000,1306
Allen VBN,A4,Five-Missing Worst,0.010882020946440996,0.0008567501554291701,0.02368523636820362,12,5000,1306
Allen VBN,A4,J30-5,0.015946866349665828,0.006281295571037481,0.030024368309853236,12,5000,1306
Allen VBN,A4,SW-U30,0.0012833392811022054,0.0005367303422289695,0.0021216540426394837,12,5000,1306
Allen VBN,A4,T5,0.001439464128528939,0.0008631581277964057,0.0021728160911016216,12,5000,1306
Allen VBN,A4,U30,0.002304465840347348,0.0014353767439122137,0.0032911095098358116,12,5000,1306
Allen VBN,A5,B5,0.006189918535695879,0.0018665822803418585,0.013443428048496114,12,5000,1306
Allen VBN,A5,CLEAN,0.0,0.0,0.0,12,5000,1306
Allen VBN,A5,Five-Missing Mean,0.008027225612952568,0.004034504263934541,0.013819048580716933,12,5000,1306
Allen VBN,A5,Five-Missing Worst,0.024297049166978498,0.010173877516320201,0.04297554512654121,12,5000,1306
Allen VBN,A5,J30-5,0.027160191861402647,0.011468427497228997,0.04864482641032203,12,5000,1306
Allen VBN,A5,SW-U30,0.0013577675962712504,0.0006128972994359708,0.0022635266194963835,12,5000,1306
Allen VBN,A5,T5,0.002075567603724529,0.0013856058019800328,0.0028560095988550568,12,5000,1306
Allen VBN,A5,U30,0.003352682467668617,0.002195718665510586,0.004659253581583097,12,5000,1306
Allen VBN,A7,B5,0.006492783958682774,0.0035614063933158357,0.009650223227689722,12,5000,1306
Allen VBN,A7,CLEAN,0.0054686002557966145,0.0034049653812969183,0.008124900225433713,12,5000,1306
Allen VBN,A7,Five-Missing Mean,0.007084009437322357,0.004435932588597955,0.010166298062461781,12,5000,1306
Allen VBN,A7,Five-Missing Worst,0.00956336726221286,0.005477343409332393,0.014068350469756005,12,5000,1306
Allen VBN,A7,J30-5,0.010148158659710596,0.005695560201251993,0.015329073389382334,12,5000,1306
Allen VBN,A7,SW-U30,0.0035500952769396596,0.00209845361586074,0.005328534005270765,12,5000,1306
Allen VBN,A7,T5,0.0077791697903130215,0.005074530252526931,0.010926304004386031,12,5000,1306
Allen VBN,A7,U30,0.007449839500965685,0.004406510321511579,0.011194492244399619,12,5000,1306
