dataset,animal_id,variant,CLEAN,U30,SW-U30,T5,B5,J30-5,Five-Missing Mean,Five-Missing Worst
Allen VBN,506940,A0,0.9992520568436799,0.9985058383045098,1.0,0.9957343618394712,0.9949251681880673,0.9990759799510405,0.9976482696566178,0.9949251681880673
Allen VBN,506940,A1,0.998598901098901,0.995586742763132,0.9986563876651984,0.9891607815261508,0.9905830078842806,0.9953597099124742,0.9938693259502471,0.9891607815261508
Allen VBN,506940,A2,0.9589247298043951,0.9558968409858736,0.9669085221786679,0.9352438454616289,0.949102987865625,0.9545416066563558,0.9523387606296303,0.9352438454616289
Allen VBN,506940,A3,0.9988711728799835,0.9942672488214492,0.9976339929330568,0.9839488332605377,0.9949251681880673,0.994747161636478,0.9931044809679179,0.9839488332605377
Allen VBN,506940,A4,0.9992520568436799,0.9974014325203259,0.9985041136873598,0.9909202676419204,0.9980847270449871,0.9968029440247319,0.996342696983865,0.9909202676419204
Allen VBN,506940,A5,0.9992520568436799,0.9966084960474759,0.9985041136873598,0.9903514317424109,0.9959679250731976,0.9954183286401165,0.9953700590381123,0.9903514317424109
Allen VBN,506940,A7,0.9923054262299214,0.9881108208174176,0.9942553974473163,0.977905914894816,0.9878916923946249,0.9905616103604449,0.987745087182924,0.977905914894816
Allen VBN,510589,A0,1.0,0.9994471385172746,1.0,0.998847829854256,0.9878509790019011,0.9978830740150025,0.996805804277687,0.9878509790019011
Allen VBN,510589,A1,0.99751389585124,0.9973331292082467,0.9993788819875776,0.9967496410798098,0.9866602312630036,0.9947829945553718,0.9949809756188019,0.9866602312630036
Allen VBN,510589,A2,0.9913307089764211,0.9924869423877318,0.9941455921918714,0.987718152804814,0.9910236170855002,0.9856310200935056,0.9902010649126846,0.9856310200935056
Allen VBN,510589,A3,0.9882521726785873,0.9880585117363445,0.9938106003024038,0.9833286661346442,0.9878509790019011,0.978567681923016,0.9863232878196619,0.978567681923016
Allen VBN,510589,A4,1.0,0.999056527495625,0.9987909925107992,0.9988657700684523,0.9996692024884396,0.993795909673248,0.9980356804473128,0.993795909673248
Allen VBN,510589,A5,1.0,0.9988745395078741,0.9982031030340209,0.9986591961593764,0.9873707684618964,0.9915460686729354,0.9949307351672207,0.9873707684618964
Allen VBN,510589,A7,0.9955117518794709,0.9959731308115648,0.9979133398788971,0.9946703261105403,0.9894905529018189,0.9912009029275464,0.9938496505260735,0.9894905529018189
