dataset,animal_id,variant,endpoint,full_minus_ablated
Allen VBN,506940,A1,B5,0.004342160303786757
Allen VBN,506940,A1,CLEAN,0.0006531557447788661
Allen VBN,506940,A1,Five-Missing Mean,0.0037789437063706632
Allen VBN,506940,A1,Five-Missing Worst,0.005764386661916476
Allen VBN,506940,A1,J30-5,0.0037162700385662273
Allen VBN,506940,A1,SW-U30,0.001343612334801625
Allen VBN,506940,A1,T5,0.006573580313320337
Allen VBN,506940,A1,U30,0.002919095541377814
Allen VBN,506940,A2,B5,0.04582218032244234
Allen VBN,506940,A2,CLEAN,0.040327327039284766
Allen VBN,506940,A2,Five-Missing Mean,0.04530950902698749
Allen VBN,506940,A2,Five-Missing Worst,0.059681322726438446
Allen VBN,506940,A2,J30-5,0.04453437329468468
Allen VBN,506940,A2,SW-U30,0.03309147782133215
Allen VBN,506940,A2,T5,0.06049051637784231
Allen VBN,506940,A2,U30,0.04260899731863621
Allen VBN,506940,A3,B5,0.0
Allen VBN,506940,A3,CLEAN,0.000380883963696399
Allen VBN,506940,A3,Five-Missing Mean,0.004543788688699868
Allen VBN,506940,A3,Five-Missing Worst,0.010976334927529585
Allen VBN,506940,A3,J30-5,0.004328818314562444
Allen VBN,506940,A3,SW-U30,0.002366007066943232
Allen VBN,506940,A3,T5,0.011785528578933446
Allen VBN,506940,A3,U30,0.004238589483060551
Allen VBN,506940,A4,B5,-0.003159558856919764
Allen VBN,506940,A4,CLEAN,0.0
Allen VBN,506940,A4,Five-Missing Mean,0.001305572672752775
Allen VBN,506940,A4,Five-Missing Worst,0.004004900546146883
Allen VBN,506940,A4,J30-5,0.002273035926308564
Allen VBN,506940,A4,SW-U30,0.0014958863126401933
Allen VBN,506940,A4,T5,0.0048140941975507445
Allen VBN,506940,A4,U30,0.001104405784183915
Allen VBN,506940,A5,B5,-0.001042756885130336
Allen VBN,506940,A5,CLEAN,0.0
Allen VBN,506940,A5,Five-Missing Mean,0.0022782106185055273
Allen VBN,506940,A5,Five-Missing Worst,0.004573736445656396
Allen VBN,506940,A5,J30-5,0.0036576513109239928
Allen VBN,506940,A5,SW-U30,0.0014958863126401933
Allen VBN,506940,A5,T5,0.005382930097060257
Allen VBN,506940,A5,U30,0.0018973422570338627
Allen VBN,506940,A7,B5,0.007033475793442379
Allen VBN,506940,A7,CLEAN,0.006946630613758553
Allen VBN,506940,A7,Five-Missing Mean,0.009903182473693817
Allen VBN,506940,A7,Five-Missing Worst,0.01701925329325127
Allen VBN,506940,A7,J30-5,0.008514369590595594
Allen VBN,506940,A7,SW-U30,0.00574460255268372
Allen VBN,506940,A7,T5,0.01782844694465513
Allen VBN,506940,A7,U30,0.01039501748709215
Allen VBN,510589,A1,B5,0.0011907477388974907
Allen VBN,510589,A1,CLEAN,0.002486104148760049
Allen VBN,510589,A1,Five-Missing Mean,0.0018248286588850027
Allen VBN,510589,A1,Five-Missing Worst,0.0011907477388974907
Allen VBN,510589,A1,J30-5,0.0031000794596307557
Allen VBN,510589,A1,SW-U30,0.0006211180124223725
Allen VBN,510589,A1,T5,0.00209818877444623
Allen VBN,510589,A1,U30,0.002114009309027942
Allen VBN,510589,A2,B5,-0.003172638083599133
Allen VBN,510589,A2,CLEAN,0.00866929102357894
