dataset,variant,endpoint,mean_delta,median_delta,n_sessions,positive_sessions
Allen VBN,A1,B5,0.0022474226545262338,0.0011624096069730028,14,10
Allen VBN,A1,CLEAN,0.001893025232665784,0.0016956329600991693,14,12
Allen VBN,A1,Five-Missing Mean,0.0035514046440432673,0.0019874720937381185,14,13
Allen VBN,A1,Five-Missing Worst,0.00504496806559663,0.0015497349569077445,14,11
Allen VBN,A1,J30-5,0.007667046801250196,0.0038019382793725853,14,14
Allen VBN,A1,SW-U30,0.0006348421372092049,0.00016135429885899555,14,7
Allen VBN,A1,T5,0.0037166569948289896,0.002223858485250141,14,13
Allen VBN,A1,U30,0.003491054632401569,0.0020222991886723607,14,13
Allen VBN,A2,B5,0.016159586987930668,0.014022592163357495,14,13
Allen VBN,A2,CLEAN,0.02079590538665709,0.017374493339442132,14,14
Allen VBN,A2,Five-Missing Mean,0.023047760071256924,0.018819461289519945,14,14
Allen VBN,A2,Five-Missing Worst,0.02671141705206739,0.017637146472666176,14,14
Allen VBN,A2,J30-5,0.02936690126251992,0.021736438596447527,14,14
Allen VBN,A2,SW-U30,0.0205886120643577,0.017990400206135515,14,14
Allen VBN,A2,T5,0.0258705995197098,0.02373759932898395,14,14
Allen VBN,A2,U30,0.023253100521766483,0.020279191181313994,14,14
Allen VBN,A3,B5,0.0,0.0,14,0
Allen VBN,A3,CLEAN,0.004545009663434597,0.00423529677956791,14,13
Allen VBN,A3,Five-Missing Mean,0.008388968403595574,0.006766622558135538,14,14
Allen VBN,A3,Five-Missing Worst,0.01397290913634343,0.008287634847529257,14,14
Allen VBN,A3,J30-5,0.017985200954284457,0.012034450285686227,14,14
Allen VBN,A3,SW-U30,0.005054108103939288,0.003711703784841258,14,14
Allen VBN,A3,T5,0.010698877612067519,0.008666397696906136,14,13
Allen VBN,A3,U30,0.008206655347686569,0.006129955556345934,14,14
Allen VBN,A4,B5,-0.005547067489590345,-0.006206359502483161,14,1
Allen VBN,A4,CLEAN,0.0,0.0,14,0
Allen VBN,A4,Five-Missing Mean,0.003026325029289242,0.0017403718175824645,14,11
Allen VBN,A4,Five-Missing Worst,0.01135338307798689,0.003541918445743475,14,10
Allen VBN,A4,J30-5,0.01571345986525386,0.0057993816495813255,14,14
Allen VBN,A4,SW-U30,0.0012971440442114085,0.0009139551977716542,14,10
Allen VBN,A4,T5,0.0013609514553216129,0.00117725188491008,14,13
Allen VBN,A4,U30,0.00230713727124968,0.0018284453957856939,14,14
Allen VBN,A5,B5,0.0059049985394648485,0.0027288592641709353,14,13
Allen VBN,A5,CLEAN,0.0,0.0,14,0
Allen VBN,A5,Five-Missing Mean,0.008008127394154463,0.004884546180777161,14,14
Allen VBN,A5,Five-Missing Worst,0.02485481306709314,0.011435808568756478,14,14
Allen VBN,A5,J30-5,0.027383389979846937,0.014592229106674737,14,14
Allen VBN,A5,SW-U30,0.0013827433361598973,0.0011600243213918393,14,10
Allen VBN,A5,T5,0.0020402495776960833,0.002058107790981978,14,14
Allen VBN,A5,U30,0.0033292555376046346,0.0028907341115418372,14,14
Allen VBN,A7,B5,0.006070534766963216,0.005074789977231042,14,12
Allen VBN,A7,CLEAN,0.005465182589162755,0.004297596307077323,14,14
Allen VBN,A7,Five-Missing Mean,0.007035799202087856,0.005140330813066751,14,14
Allen VBN,A7,Five-Missing Worst,0.009623351715938136,0.00866878706431734,14,12
Allen VBN,A7,J30-5,0.010211661588298353,0.006621705135340161,14,14
Allen VBN,A7,SW-U30,0.0037071351383615803,0.0027994883137874016,14,14
Allen VBN,A7,T5,0.00782200551398655,0.004904068138484374,14,14
Allen VBN,A7,U30,0.007367659002829517,0.004827172290760795,14,14
CRCNS pvc-11,A1,B5,0.06119047619047616,0.05785714285714294,3,3
CRCNS pvc-11,A1,CLEAN,0.05238095238095227,0.05357142857142849,3,3
CRCNS pvc-11,A1,Five-Missing Mean,0.05619047619047631,0.054571428571428715,3,3
CRCNS pvc-11,A1,Five-Missing Worst,0.054047619047619046,0.05785714285714294,3,3
CRCNS pvc-11,A1,J30-5,0.04619047619047619,0.05857142857142861,3,3
CRCNS pvc-11,A1,SW-U30,0.06428571428571428,0.042857142857142816,3,3
CRCNS pvc-11,A1,T5,0.05119047619047612,0.05642857142857127,3,3
CRCNS pvc-11,A1,U30,0.05809523809523809,0.05714285714285727,3,3
CRCNS pvc-11,A2,B5,0.0014285714285714086,0.008571428571428674,3,2
CRCNS pvc-11,A2,CLEAN,0.021428571428571314,0.010714285714285565,3,2
CRCNS pvc-11,A2,Five-Missing Mean,0.01404761904761905,0.011142857142857121,3,2
CRCNS pvc-11,A2,Five-Missing Worst,0.012380952380952381,0.008571428571428452,3,2
CRCNS pvc-11,A2,J30-5,0.014523809523809494,0.008571428571428452,3,2
CRCNS pvc-11,A2,SW-U30,0.016666666666666607,0.0071428571428571175,3,2
CRCNS pvc-11,A2,T5,0.01642857142857142,0.01285714285714279,3,2
CRCNS pvc-11,A2,U30,0.021190476190476242,0.018571428571428683,3,2
CRCNS pvc-11,A3,B5,0.0,0.0,3,0
CRCNS pvc-11,A3,CLEAN,0.008333333333333304,0.0035714285714284477,3,2
CRCNS pvc-11,A3,Five-Missing Mean,0.017952380952381015,0.012285714285714344,3,3
