dataset,model,model_id,endpoint,CN_BalAcc,n_animals,n_sessions,source_status,source_manifest,aggregation_protocol_hash
Allen VBN,CEBRA,CEBRA_FLAT_LOGREG,CLEAN,0.9944190576077601,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,CEBRA,CEBRA_FLAT_LOGREG,U30,0.9789672890441623,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,CEBRA,CEBRA_FLAT_LOGREG,SW-U30,0.9789389412984874,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,CEBRA,CEBRA_FLAT_LOGREG,T5,0.9737867952401368,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,CEBRA,CEBRA_FLAT_LOGREG,B5,0.9701141477972284,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,CEBRA,CEBRA_FLAT_LOGREG,J30-5,0.9180946030213238,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,CEBRA,CEBRA_FLAT_LOGREG,Five-Missing Mean,0.9639803552802677,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,CEBRA,CEBRA_FLAT_LOGREG,Five-Missing Worst,0.917302823719165,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,GRU-D,GRU_LIGHTWEIGHT,CLEAN,0.3434506850071135,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
Allen VBN,GRU-D,GRU_LIGHTWEIGHT,U30,0.02174168749394041,12,14,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
