dataset,endpoint,best_model,best_value,second_model,second_value,best_baseline,best_baseline_value,MMRVD_value,MMRVD_rank
Allen VBN,CLEAN,MM-RVD,0.9988071506145388,Transformer,0.9946481966693649,Transformer,0.9946481966693649,0.9988071506145388,1
Allen VBN,U30,MM-RVD,0.9984237994322402,Transformer,0.9825834006528905,Transformer,0.9825834006528905,0.9984237994322402,1
Allen VBN,SW-U30,MM-RVD,0.9983820337507772,Transformer,0.9826675054561681,Transformer,0.9826675054561681,0.9983820337507772,1
Allen VBN,T5,MM-RVD,0.9978665447198519,SVM,0.9738035278531928,SVM,0.9738035278531928,0.9978665447198519,1
Allen VBN,B5,MM-RVD,0.9953457704427796,CEBRA,0.9701141477972284,CEBRA,0.9701141477972284,0.9953457704427796,1
Allen VBN,J30-5,MM-RVD,0.9973766928930696,SVM,0.9588200956744343,SVM,0.9588200956744343,0.9973766928930696,1
Allen VBN,Five-Missing Mean,MM-RVD,0.9974789682477437,SVM,0.9702130579360371,SVM,0.9702130579360371,0.9974789682477437,1
Allen VBN,Five-Missing Worst,MM-RVD,0.9948957459988857,SVM,0.955535507490363,SVM,0.955535507490363,0.9948957459988857,1
CRCNS pvc-11,CLEAN,CEBRA,0.9909523809523808,MM-RVD,0.9904761904761902,CEBRA,0.9909523809523808,0.9904761904761902,2
CRCNS pvc-11,U30,MM-RVD,0.9754761904761904,CEBRA,0.9659999999999999,CEBRA,0.9659999999999999,0.9754761904761904,1
CRCNS pvc-11,SW-U30,MM-RVD,0.9754761904761904,CEBRA,0.9659999999999999,CEBRA,0.9659999999999999,0.9754761904761904,1
CRCNS pvc-11,T5,CEBRA,0.9810476190476191,MM-RVD,0.9769047619047617,CEBRA,0.9810476190476191,0.9769047619047617,2
CRCNS pvc-11,B5,CEBRA,0.9885714285714285,MM-RVD,0.969047619047619,CEBRA,0.9885714285714285,0.969047619047619,2
CRCNS pvc-11,J30-5,MM-RVD,0.9616666666666666,SVD,0.9085714285714287,SVD,0.9085714285714287,0.9616666666666666,1
CRCNS pvc-11,Five-Missing Mean,MM-RVD,0.9717142857142856,CEBRA,0.9615428571428571,CEBRA,0.9615428571428571,0.9717142857142856,1
CRCNS pvc-11,Five-Missing Worst,MM-RVD,0.9616666666666666,SVD,0.9085714285714287,SVD,0.9085714285714287,0.9616666666666666,1
