dataset,model,CLEAN,FMW,CLEAN_minus_FMW
Allen VBN,CEBRA,0.9944190576077601,0.917302823719165,0.07711623388859501
Allen VBN,GRU-D,0.3434506850071135,0.0037097045612146397,0.33974098044589884
Allen VBN,MM-RVD,0.9988071506145388,0.9948957459988857,0.003911404615653091
Allen VBN,SVD,0.8989166584541634,0.8348996922676228,0.06401696618654051
Allen VBN,SVM,0.9845489210878893,0.955535507490363,0.029013413597526294
Allen VBN,TCN,0.810816439977175,0.5383334018646437,0.2724830381125313
Allen VBN,Transformer,0.9946481966693649,0.8873445671325477,0.10730362953681716
CRCNS pvc-11,CEBRA,0.9909523809523808,0.9060952380952382,0.08485714285714263
CRCNS pvc-11,GRU-D,0.9504761904761905,0.005095238095238088,0.9453809523809524
CRCNS pvc-11,MM-RVD,0.9904761904761902,0.9616666666666666,0.02880952380952362
CRCNS pvc-11,SVD,0.9666666666666667,0.9085714285714287,0.05809523809523798
CRCNS pvc-11,SVM,0.8422619047619048,0.6513095238095238,0.19095238095238098
CRCNS pvc-11,TCN,0.8852380952380953,0.6042380952380952,0.281
CRCNS pvc-11,Transformer,0.9461904761904764,0.5730000000000001,0.3731904761904763
