dataset,animal_id,endpoint,baseline,MMRVD_value,baseline_value,paired_difference
Allen VBN,506940,CLEAN,SVM,0.9993131868131868,0.9769891811669158,0.022324005646271017
Allen VBN,510589,CLEAN,SVM,0.999370673379484,0.9844459416836194,0.014924731695864613
Allen VBN,521466,CLEAN,SVM,1.0,0.9901531283077836,0.00984687169221643
Allen VBN,524760,CLEAN,SVM,1.0,0.9901241988300041,0.009875801169995868
Allen VBN,524761,CLEAN,SVM,0.9940547691411913,0.9830138688598833,0.011040900281307997
Allen VBN,527749,CLEAN,SVM,0.99937343358396,0.990914885830914,0.008458547753045997
Allen VBN,531237,CLEAN,SVM,0.9986983336298404,0.9546449139229309,0.04405341970690946
Allen VBN,544837,CLEAN,SVM,1.0,0.9951745357717214,0.004825464228278564
Allen VBN,546507,CLEAN,SVM,0.9992748368382884,0.9877532185798903,0.011521618258398147
Allen VBN,563497,CLEAN,SVM,0.9994206163997745,0.9925757169689147,0.006844899430859863
Allen VBN,567286,CLEAN,SVM,0.998834839707908,0.9962616448850872,0.0025731948228208124
Allen VBN,570301,CLEAN,SVM,0.9973451178808322,0.9725358182470059,0.024809299633826387
Allen VBN,506940,U30,SVM,0.999327704108006,0.9633644648735115,0.035963239234494515
Allen VBN,510589,U30,SVM,0.9991466844761818,0.9783507970580574,0.020795887418124437
Allen VBN,521466,U30,SVM,0.9994108983799705,0.9864076173944125,0.01300328098555803
Allen VBN,524760,U30,SVM,0.9988827272578561,0.983983414516059,0.014899312741797122
Allen VBN,524761,U30,SVM,0.9943629541652201,0.9732965366927602,0.021066417472459964
Allen VBN,527749,U30,SVM,0.9993963993649462,0.9831811152165892,0.016215284148356934
Allen VBN,531237,U30,SVM,0.9980727855223515,0.9295405025784411,0.06853228294391034
Allen VBN,544837,U30,SVM,0.9998843262001156,0.990887175398102,0.008997150802013576
Allen VBN,546507,U30,SVM,0.9993354127168572,0.9796386274014821,0.01969678531537511
Allen VBN,563497,U30,SVM,0.9990879796955279,0.9839608017402065,0.01512717795532137
Allen VBN,567286,U30,SVM,0.9985473980734042,0.9916677872064688,0.006879610866935448
Allen VBN,570301,U30,SVM,0.995630323226445,0.9522874148075242,0.043342908418920745
Allen VBN,506940,SW-U30,SVM,0.999327704108006,0.9633644648735115,0.035963239234494515
Allen VBN,510589,SW-U30,SVM,0.9991466844761818,0.9783507970580574,0.020795887418124437
Allen VBN,521466,SW-U30,SVM,0.9994108983799705,0.9864076173944125,0.01300328098555803
Allen VBN,524760,SW-U30,SVM,0.9988827272578561,0.983983414516059,0.014899312741797122
Allen VBN,524761,SW-U30,SVM,0.9943629541652201,0.9732965366927602,0.021066417472459964
Allen VBN,527749,SW-U30,SVM,0.9993963993649462,0.9831811152165892,0.016215284148356934
Allen VBN,531237,SW-U30,SVM,0.9980727855223515,0.9295405025784411,0.06853228294391034
Allen VBN,544837,SW-U30,SVM,0.9994216310005785,0.9906455806687333,0.008776050331845142
Allen VBN,546507,SW-U30,SVM,0.9995951900422575,0.9791138018636503,0.02048138817860723
Allen VBN,563497,SW-U30,SVM,0.9989211159002742,0.9827955820661943,0.016125533834079886
Allen VBN,567286,SW-U30,SVM,0.9988002425740363,0.990126291577593,0.008673950996443303
Allen VBN,570301,SW-U30,SVM,0.995246072217647,0.9556681592096169,0.03957791300803015
Allen VBN,506940,T5,SVM,0.99689824647233,0.9455704141425222,0.051327832329807865
