dataset,endpoint,baseline,n_animals,mean_difference,median_difference,SD,min,max,CI_lower,CI_upper,positive_animal_count,analysis_type
Allen VBN,CLEAN,SVM,12,0.014258229526649596,0.010458350725651933,0.011422451105277284,0.0025731948228208124,0.04405341970690946,0.008852500612622714,0.021005890419494057,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,U30,SVM,12,0.02370994485860563,0.017956034731866022,0.017575923763831627,0.006879610866935448,0.06853228294391034,0.015355676980335967,0.034161506157043525,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,SW-U30,SVM,12,0.023675878441142256,0.018348336163482082,0.017034517587904873,0.008673950996443303,0.06853228294391034,0.01567798638010223,0.03383601953313699,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,T5,SVM,12,0.024063016866659126,0.017287793754085845,0.015396210967434844,0.008801827768943227,0.051327832329807865,0.01632726925412643,0.03248054372582104,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,B5,SVM,12,0.026324114173490842,0.017433244796875802,0.02439085447596873,-0.0024822621332141193,0.08556647979029341,0.014693041737969079,0.04052563086524362,11,ANIMAL_BOOTSTRAP_10000
Allen VBN,J30-5,SVM,12,0.03855659721863541,0.03463758039040876,0.01947219501902602,0.018331902931781885,0.07453149046322927,0.02900739279428901,0.04972057846430134,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,Five-Missing Mean,SVM,12,0.027265910311706627,0.023340377023326475,0.01755950167002052,0.008660156565127974,0.06906432805564722,0.018877929470115955,0.037640884012404445,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,Five-Missing Worst,SVM,12,0.03936023850852279,0.037309626662662077,0.02088805951075219,0.014508208586619276,0.08515390796405586,0.028785142042881653,0.05188676434984768,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,CLEAN,SVD,12,0.09989049216037553,0.06644578700930298,0.08296431556076986,0.024937837421014852,0.2985069579785329,0.060332577589536564,0.14909072370246623,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,U30,SVD,12,0.11185395270766012,0.07906383783739845,0.08643463608575531,0.03288704655620067,0.3131301844873957,0.07061484655000265,0.1628502912441258,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,SW-U30,SVD,12,0.11027636672246177,0.07698930915892932,0.08666991971189332,0.029872379443356745,0.3131301844873957,0.06884159622358184,0.1607786085258705,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,T5,SVD,12,0.12657103298139735,0.09749650399686854,0.0882726992568949,0.043352724030182754,0.3492327139914365,0.08461392391411932,0.17970893166076227,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,B5,SVD,12,0.14479563942683543,0.10810324818133382,0.12000472540214485,0.026615451677993285,0.4349757344139784,0.0881447948161625,0.2157338787640232,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,J30-5,SVD,12,0.13811415606012245,0.11524789787608669,0.07946245762868287,0.05828662517816163,0.32358196597132416,0.09836993240343515,0.18380976866641008,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,Five-Missing Mean,SVD,12,0.12632222957969538,0.08935097371863171,0.09120925877268193,0.038202845377178885,0.3468101566703059,0.08234610666558889,0.18094189313389875,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,Five-Missing Worst,SVD,12,0.15999605373126283,0.11523107056721965,0.11357420958812099,0.051367178438249006,0.4329938429504937,0.10486973356443785,0.22667339702726277,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,CLEAN,CEBRA,12,0.0043880930067787816,0.002532620810219488,0.007770476887462918,-0.0003694258455849697,0.028283886023634075,0.0014045506519930484,0.009151950274084318,10,ANIMAL_BOOTSTRAP_10000
Allen VBN,U30,CEBRA,12,0.019456510388077858,0.008333682127390718,0.028489881566259034,0.0014533332874646643,0.10297449831985783,0.007459790471129703,0.03734719336977696,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,SW-U30,CEBRA,12,0.019443092452289867,0.008031821262923566,0.028480583679766656,0.001055649780610901,0.10297449831985783,0.007426188445043962,0.03743480556295211,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,T5,CEBRA,12,0.02407974947971527,0.01314445286171212,0.03385619341908778,0.0014109432164386426,0.11513469786216035,0.00919429363283848,0.04461818182329509,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,B5,CEBRA,12,0.025231622645551188,0.008954970920819927,0.04567011885218425,-0.009118839947307666,0.15813186757764608,0.005576776387504691,0.05276540681099634,9,ANIMAL_BOOTSTRAP_10000
Allen VBN,J30-5,CEBRA,12,0.07928208987174579,0.0626597140878557,0.06262081404479532,0.019636458867590578,0.21003754651901863,0.049435284936292144,0.11565953191055986,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,Five-Missing Mean,CEBRA,12,0.03349861296747602,0.018929311476120814,0.03798556729074411,0.00778477272250766,0.13705389955143854,0.016128495644353112,0.056893030172167805,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,Five-Missing Worst,CEBRA,12,0.07759292227972074,0.05786638901985841,0.06448868065831019,0.01832159620542173,0.21019253879493094,0.04725909966483473,0.11660806731631197,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,CLEAN,GRU-D,12,0.6553564656074253,0.7517086265864868,0.3625100130349944,0.0508018823548958,0.9993131868131868,0.45164977223878733,0.8425432984559723,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,U30,GRU-D,12,0.9766821119382998,0.9864889539605548,0.026192780916790902,0.9341975828739985,1.0002535082278874,0.9619151593095264,0.9903845659539564,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,SW-U30,GRU-D,12,0.984640062876364,0.9928297097433385,0.016663705204752934,0.9520579336016478,1.0002535082278874,0.9749056278509789,0.993058104270094,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,T5,GRU-D,12,0.9306407197881525,0.9495280405524367,0.06986973469150012,0.8168500475003929,0.9994743774951778,0.8912064960955016,0.9670730981495371,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,B5,GRU-D,12,0.9491813411962932,0.980755986282561,0.06065304037409411,0.8363441731326114,1.001384164896921,0.9147039339951142,0.9789218988892022,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,J30-5,GRU-D,12,0.9861703636690473,0.9920215263410354,0.01279963300250723,0.9639221083482762,0.9989487964663326,0.9791676748085051,0.992804798424301,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,Five-Missing Mean,GRU-D,12,0.9654629198936312,0.9770993354676387,0.03627405551291166,0.9014380829130959,0.9998722476134915,0.9446181879903325,0.9839665597012961,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,Five-Missing Worst,GRU-D,12,0.9911860414376711,0.996437971975981,0.011581367800105718,0.9685780136765892,1.0017613698991743,0.9846323910076872,0.9970608567501249,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,CLEAN,TCN,12,0.18799071063736375,0.1188146070227874,0.20599910947307284,0.011025803111646248,0.6677874361779007,0.08852869703194453,0.3127947480448414,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,U30,TCN,12,0.37494239662622375,0.34892922920333086,0.21580727629395635,0.11849233956001226,0.7820726746795524,0.262812787519302,0.49325148120743967,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,SW-U30,TCN,12,0.37212168628177417,0.332560232386217,0.21419587642030324,0.11849233956001226,0.7820726746795524,0.262543232524966,0.4900273472561711,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,T5,TCN,12,0.2641685733080528,0.19363038956236522,0.23089865149668815,0.044821547595161326,0.7792518356402292,0.1515959065269291,0.39528424698771064,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,B5,TCN,12,0.3224691731221219,0.2381591982223728,0.27098556297416077,0.03435638279583508,0.8073393385133624,0.18211509716320662,0.4715471762483421,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,J30-5,TCN,12,0.4490240711005708,0.4611142198365987,0.21971018710871262,0.13917138104727678,0.8365370793688756,0.334437253919132,0.5691849115545599,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,Five-Missing Mean,TCN,12,0.35654518008774866,0.3219597435737098,0.22706980826675233,0.10260570784993117,0.7974547205763144,0.23867177162126943,0.48403656059843686,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,Five-Missing Worst,TCN,12,0.45656234413424207,0.464886327969363,0.22455611722373564,0.13917138104727678,0.8453229292251219,0.33630340733552017,0.5792038019922069,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,CLEAN,Transformer,12,0.004158953945173904,0.0022430137751777712,0.005084097506875659,-0.00014743628173630174,0.014462616196310951,0.0016752641881486487,0.007128180900312694,11,ANIMAL_BOOTSTRAP_10000
Allen VBN,U30,Transformer,12,0.015840398779349674,0.011583187885264912,0.013720280454037765,0.003217143647433529,0.04515238087759754,0.009142431391208006,0.02389182562159781,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,SW-U30,Transformer,12,0.01571452829460913,0.010518493819723918,0.013501207600383102,0.003217143647433529,0.04515238087759754,0.009146540505670955,0.02371295243320584,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,T5,Transformer,12,0.06090552938511534,0.035721868870501994,0.05583149127161087,0.0014217374420717466,0.197187353621757,0.03382312621169922,0.09465491653781859,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,B5,Transformer,12,0.03220445997841051,0.018399196197223577,0.03566348666242683,-0.0037581837242585125,0.11372086148636529,0.014751004943635883,0.052794964196154766,11,ANIMAL_BOOTSTRAP_10000
Allen VBN,J30-5,Transformer,12,0.09642842334298495,0.0778158570973364,0.057149709440381016,0.04841732926777953,0.2560343688229586,0.07073172979011119,0.13130281187159865,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,Five-Missing Mean,Transformer,12,0.044218667956093895,0.03401725177881626,0.02534960102712771,0.02337270359850252,0.10711219621516865,0.03207699064218551,0.05956048645517142,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,Five-Missing Worst,Transformer,12,0.10755117886633803,0.09355381481061553,0.053482315377113974,0.062402000961092385,0.2560343688229586,0.08338552309789359,0.14071621475727408,12,ANIMAL_BOOTSTRAP_10000
CRCNS pvc-11,CLEAN,SVM,3,0.14821428571428552,0.13928571428571412,0.0798396032361006,0.07321428571428545,0.23214285714285698,NA,NA,3,DESCRIPTIVE_SMALL_N
