dataset,endpoint,baseline,n_animals,mean_difference,median_difference,SD,min,max,CI_lower,CI_upper,positive_animal_count,analysis_type
Allen VBN,CLEAN,SVM,12,0.014258229526649596,0.010458350725651933,0.011422451105277284,0.0025731948228208124,0.04405341970690946,0.008852500612622714,0.021005890419494057,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,U30,SVM,12,0.02370994485860563,0.017956034731866022,0.017575923763831627,0.006879610866935448,0.06853228294391034,0.015355676980335967,0.034161506157043525,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,SW-U30,SVM,12,0.023675878441142256,0.018348336163482082,0.017034517587904873,0.008673950996443303,0.06853228294391034,0.01567798638010223,0.03383601953313699,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,T5,SVM,12,0.024063016866659126,0.017287793754085845,0.015396210967434844,0.008801827768943227,0.051327832329807865,0.01632726925412643,0.03248054372582104,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,B5,SVM,12,0.026324114173490842,0.017433244796875802,0.02439085447596873,-0.0024822621332141193,0.08556647979029341,0.014693041737969079,0.04052563086524362,11,ANIMAL_BOOTSTRAP_10000
Allen VBN,J30-5,SVM,12,0.03855659721863541,0.03463758039040876,0.01947219501902602,0.018331902931781885,0.07453149046322927,0.02900739279428901,0.04972057846430134,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,Five-Missing Mean,SVM,12,0.027265910311706627,0.023340377023326475,0.01755950167002052,0.008660156565127974,0.06906432805564722,0.018877929470115955,0.037640884012404445,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,Five-Missing Worst,SVM,12,0.03936023850852279,0.037309626662662077,0.02088805951075219,0.014508208586619276,0.08515390796405586,0.028785142042881653,0.05188676434984768,12,ANIMAL_BOOTSTRAP_10000
CRCNS pvc-11,CLEAN,CEBRA,3,-0.0004761904761905929,0.0014285714285713347,0.006636838030841147,-0.007857142857143007,0.004999999999999893,NA,NA,2,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,U30,CEBRA,3,0.009476190476190416,0.0071428571428571175,0.015489518070877163,-0.004714285714285893,0.026000000000000023,NA,NA,2,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,SW-U30,CEBRA,3,0.009476190476190416,0.0071428571428571175,0.015489518070877163,-0.004714285714285893,0.026000000000000023,NA,NA,2,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,T5,CEBRA,3,-0.0041428571428572996,0.0017142857142856682,0.011532562594670875,-0.017428571428571682,0.003285714285714114,NA,NA,2,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,B5,CEBRA,3,-0.0195238095238095,-0.0007142857142857784,0.03257905090427178,-0.05714285714285716,-0.0007142857142855563,NA,NA,0,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,J30-5,CEBRA,3,0.055571428571428494,0.06914285714285706,0.029381724154407846,0.021857142857142797,0.07571428571428562,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,Five-Missing Mean,CEBRA,3,0.010171428571428462,0.00774285714285694,0.013211343301751631,-0.0016571428571430236,0.024428571428571466,NA,NA,2,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,Five-Missing Worst,CEBRA,3,0.055571428571428494,0.06914285714285706,0.029381724154407846,0.021857142857142797,0.07571428571428562,NA,NA,3,DESCRIPTIVE_SMALL_N
