dataset,severity_type,severity_value,severity_unit,comparison,mean_paired_difference,ci95_low,ci95_high,positive_animals,total_animals,inference_mode
Allen VBN,CLEAN_REFERENCE,0.0,none,MM-RVD - SVM,0.014258229526649596,0.008852500612622714,0.021005890419494057,12,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,TEMPORAL,2.0,bins,MM-RVD - SVM,0.015978314179439845,0.009971311880518278,0.023519799184276272,12,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,TEMPORAL,3.0,bins,MM-RVD - SVM,0.018107565801415648,0.011480587829625863,0.026454835200107562,12,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,TEMPORAL,5.0,bins,MM-RVD - SVM,0.024063016866659126,0.016296737339312937,0.03290175221951393,12,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,TEMPORAL,7.0,bins,MM-RVD - SVM,0.03536381164734723,0.02433904859530107,0.04811381826400512,12,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,TEMPORAL,10.0,bins,MM-RVD - SVM,0.08000824190617911,0.06371833574595308,0.09766431956914234,12,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,UNIT,0.1,proportion,MM-RVD - SVM,0.016648356667299014,0.010627753332547386,0.024335336728100093,12,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,UNIT,0.2,proportion,MM-RVD - SVM,0.019318852212211312,0.01257127044051637,0.027688141837363026,12,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,UNIT,0.3,proportion,MM-RVD - SVM,0.02370994485860563,0.01537304175857096,0.034158701328941825,12,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,UNIT,0.4,proportion,MM-RVD - SVM,0.031063032816619263,0.020286455956145453,0.04634593414292521,12,12,ANIMAL_BOOTSTRAP_10000
Allen VBN,UNIT,0.5,proportion,MM-RVD - SVM,0.039787085139575,0.027021311480184846,0.05619886634965011,12,12,ANIMAL_BOOTSTRAP_10000
CRCNS pvc-11,CLEAN_REFERENCE,0.0,none,MM-RVD - CEBRA,-0.0004761904761905929,NA,NA,2,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,TEMPORAL,2.0,bins,MM-RVD - CEBRA,-0.0008571428571429266,NA,NA,2,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,TEMPORAL,3.0,bins,MM-RVD - CEBRA,-0.0041428571428571885,NA,NA,2,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,TEMPORAL,5.0,bins,MM-RVD - CEBRA,-0.0041428571428572996,NA,NA,2,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,TEMPORAL,7.0,bins,MM-RVD - CEBRA,-0.002571428571428632,NA,NA,2,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,TEMPORAL,10.0,bins,MM-RVD - CEBRA,0.015142857142856977,NA,NA,3,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,UNIT,0.1,proportion,MM-RVD - CEBRA,-0.0016190476190475571,NA,NA,2,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,UNIT,0.2,proportion,MM-RVD - CEBRA,-0.002571428571428558,NA,NA,2,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,UNIT,0.3,proportion,MM-RVD - CEBRA,0.009476190476190416,NA,NA,2,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,UNIT,0.4,proportion,MM-RVD - CEBRA,0.03090476190476184,NA,NA,3,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,UNIT,0.5,proportion,MM-RVD - CEBRA,0.09328571428571426,NA,NA,3,3,DESCRIPTIVE_SMALL_N
