dataset,model,CLEAN,U30,SW-U30,T5,B5,J30-5
Allen VBN,CEBRA,0.9944190576077601,0.9789672890441623,0.9789389412984874,0.9737867952401368,0.9701141477972284,0.9180946030213238
Allen VBN,GRU-D,0.3434506850071135,0.02174168749394041,0.013741970874413192,0.0672258249316995,0.04616442924648648,0.011206329224022274
Allen VBN,MM-RVD,0.9988071506145388,0.9984237994322402,0.9983820337507772,0.9978665447198519,0.9953457704427796,0.9973766928930696
Allen VBN,SVD,0.8989166584541634,0.8865698467245801,0.8881056670283153,0.8712955117384547,0.8505501310159441,0.8592625368329472
Allen VBN,SVM,0.9845489210878893,0.9747138545736345,0.9747061553096349,0.9738035278531928,0.9690216562692887,0.9588200956744343
Allen VBN,TCN,0.810816439977175,0.6234814028060164,0.626260347469003,0.7336979714117992,0.6728765973206577,0.5483526217924988
Allen VBN,Transformer,0.9946481966693649,0.9825834006528905,0.9826675054561681,0.9369610153347366,0.963141310464369,0.9009482695500847
CRCNS pvc-11,CEBRA,0.9909523809523808,0.9659999999999999,0.9659999999999999,0.9810476190476191,0.9885714285714285,0.9060952380952382
CRCNS pvc-11,GRU-D,0.9504761904761905,0.013285714285714276,0.013285714285714276,0.17985714285714283,0.1283333333333333,0.010380952380952367
CRCNS pvc-11,MM-RVD,0.9904761904761902,0.9754761904761904,0.9754761904761904,0.9769047619047617,0.969047619047619,0.9616666666666666
CRCNS pvc-11,SVD,0.9666666666666667,0.9444047619047619,0.9444047619047619,0.9535714285714286,0.9624999999999999,0.9085714285714287
CRCNS pvc-11,SVM,0.8422619047619048,0.7089285714285714,0.7089285714285714,0.8027380952380954,0.8321428571428572,0.6513095238095238
CRCNS pvc-11,TCN,0.8852380952380953,0.6253809523809524,0.6253809523809524,0.8612857142857143,0.8771428571428572,0.6042380952380952
CRCNS pvc-11,Transformer,0.9461904761904764,0.6714761904761904,0.6714761904761904,0.8819047619047619,0.9328571428571428,0.5730000000000001
