dataset,model,FMM,FMW
Allen VBN,CEBRA,0.9639803552802677,0.917302823719165
Allen VBN,GRU-D,0.03201604835411236,0.0037097045612146397
Allen VBN,MM-RVD,0.9974789682477437,0.9948957459988857
Allen VBN,SVD,0.8711567386680482,0.8348996922676228
Allen VBN,SVM,0.9702130579360371,0.955535507490363
Allen VBN,TCN,0.640933788159995,0.5383334018646437
Allen VBN,Transformer,0.9532603002916499,0.8873445671325477
CRCNS pvc-11,CEBRA,0.9615428571428571,0.9060952380952382
CRCNS pvc-11,GRU-D,0.0690285714285714,0.005095238095238088
CRCNS pvc-11,MM-RVD,0.9717142857142856,0.9616666666666666
CRCNS pvc-11,SVD,0.9426904761904762,0.9085714285714287
CRCNS pvc-11,SVM,0.7408095238095238,0.6513095238095238
CRCNS pvc-11,TCN,0.7186857142857143,0.6042380952380952
CRCNS pvc-11,Transformer,0.7461428571428571,0.5730000000000001
