variant,CLEAN,U30,SW-U30,T5,B5,J30-5,Five-Missing Mean,Five-Missing Worst
Full,0.998062357,0.997725205,0.998257275,0.99667075,0.990279062,0.995769345,0.995740327,0.990256307
Temp,0.996169332,0.994234151,0.997622433,0.992954093,0.988031639,0.988102298,0.992188923,0.985211339
Proj,0.977266451,0.974472105,0.977668663,0.970800151,0.974119475,0.966402443,0.972692567,0.96354489
Cov,0.993517347,0.98951855,0.993203167,0.985971873,0.990279062,0.977784144,0.987351359,0.976283398
Mask,0.998062357,0.995418068,0.996960131,0.995309799,0.99582613,0.980055885,0.992714002,0.978902924
Zero-fill,0.998062357,0.99439595,0.996874531,0.994630501,0.984374064,0.968385955,0.9877322,0.965401494
Restricted,0.992597174,0.990357546,0.99455014,0.988848745,0.984208527,0.985557683,0.988704528,0.980632956
Full,0.99047619,0.97452381,0.99047619,0.980238095,0.96547619,0.96047619,0.974238095,0.958333333
Temp,0.938095238,0.916428571,0.926190476,0.929047619,0.904285714,0.914285714,0.918047619,0.904285714
Proj,0.969047619,0.953333333,0.973809524,0.963809524,0.964047619,0.945952381,0.960190476,0.945952381
Cov,0.982142857,0.950238095,0.975,0.963095238,0.96547619,0.927619048,0.956285714,0.927619048
Mask,0.99047619,0.922619048,0.941666667,0.969047619,0.974047619,0.873095238,0.936095238,0.85952381
Zero-fill,0.99047619,0.896904762,0.913095238,0.967380952,0.950238095,0.826190476,0.910761905,0.797857143
Restricted,0.983333333,0.964166667,0.980952381,0.971071429,0.958452381,0.952738095,0.96547619,0.950238095
