dataset,animal,model,severity_type,severity_value,severity_unit,CN_BalAcc,n_sessions_contributing
Allen VBN,506940,MM-RVD,CLEAN_REFERENCE,0.0,none,0.9993131868131868,1
Allen VBN,506940,MM-RVD,TEMPORAL,2.0,bins,0.9995879120879121,1
Allen VBN,506940,MM-RVD,TEMPORAL,3.0,bins,0.9985185407043546,1
Allen VBN,506940,MM-RVD,TEMPORAL,5.0,bins,0.99689824647233,1
Allen VBN,506940,MM-RVD,TEMPORAL,7.0,bins,0.9970475608828734,1
Allen VBN,506940,MM-RVD,TEMPORAL,10.0,bins,0.992508068234347,1
Allen VBN,506940,MM-RVD,UNIT,0.1,proportion,0.9997252747252748,1
Allen VBN,506940,MM-RVD,UNIT,0.2,proportion,0.9997252747252748,1
Allen VBN,506940,MM-RVD,UNIT,0.3,proportion,0.999327704108006,1
Allen VBN,506940,MM-RVD,UNIT,0.4,proportion,0.9995879120879121,1
Allen VBN,506940,MM-RVD,UNIT,0.5,proportion,0.9986851765675187,1
Allen VBN,506940,SVM,CLEAN_REFERENCE,0.0,none,0.9769891811669158,1
Allen VBN,506940,SVM,TEMPORAL,2.0,bins,0.9743842699268107,1
Allen VBN,506940,SVM,TEMPORAL,3.0,bins,0.9689079450174767,1
Allen VBN,506940,SVM,TEMPORAL,5.0,bins,0.9455704141425222,1
Allen VBN,506940,SVM,TEMPORAL,7.0,bins,0.9361973507153933,1
Allen VBN,506940,SVM,TEMPORAL,10.0,bins,0.8674545088057486,1
Allen VBN,506940,SVM,UNIT,0.1,proportion,0.9746754382939531,1
Allen VBN,506940,SVM,UNIT,0.2,proportion,0.9676702995635027,1
Allen VBN,506940,SVM,UNIT,0.3,proportion,0.9633644648735115,1
Allen VBN,506940,SVM,UNIT,0.4,proportion,0.9561612402425061,1
Allen VBN,506940,SVM,UNIT,0.5,proportion,0.936853331342975,1
Allen VBN,510589,MM-RVD,CLEAN_REFERENCE,0.0,none,0.999370673379484,1
Allen VBN,510589,MM-RVD,TEMPORAL,2.0,bins,0.9992540553036824,1
Allen VBN,510589,MM-RVD,TEMPORAL,3.0,bins,0.9986557538713081,1
Allen VBN,510589,MM-RVD,TEMPORAL,5.0,bins,0.9992540553036824,1
Allen VBN,510589,MM-RVD,TEMPORAL,7.0,bins,0.9987647664204271,1
Allen VBN,510589,MM-RVD,TEMPORAL,10.0,bins,0.9986202437596592,1
Allen VBN,510589,MM-RVD,UNIT,0.1,proportion,0.9993706733794842,1
Allen VBN,510589,MM-RVD,UNIT,0.2,proportion,0.9993706733794842,1
