dataset,model,severity_type,severity_value,severity_unit,CN_BalAcc_mean,n_animals,CLEAN_reference,drop_from_CLEAN,x_value
Allen VBN,MM-RVD,CLEAN_REFERENCE,0.0,none,0.9988071506145388,12,0.9988071506145388,0.0,0.0
Allen VBN,MM-RVD,TEMPORAL,2.0,bins,0.9986301725327053,12,0.9988071506145388,0.00017697808183358976,40.0
Allen VBN,MM-RVD,TEMPORAL,3.0,bins,0.9983428536594805,12,0.9988071506145388,0.0004642969550583409,60.0
Allen VBN,MM-RVD,TEMPORAL,5.0,bins,0.9978665447198519,12,0.9988071506145388,0.0009406058946869189,100.0
Allen VBN,MM-RVD,TEMPORAL,7.0,bins,0.996926345626434,12,0.9988071506145388,0.0018808049881048339,140.0
Allen VBN,MM-RVD,TEMPORAL,10.0,bins,0.9948253936049286,12,0.9988071506145388,0.003981757009610232,200.0
Allen VBN,MM-RVD,UNIT,0.1,proportion,0.9986871698008516,12,0.9988071506145388,0.00011998081368724822,10.0
Allen VBN,MM-RVD,UNIT,0.2,proportion,0.9986009335843377,12,0.9988071506145388,0.00020621703020118343,20.0
Allen VBN,MM-RVD,UNIT,0.3,proportion,0.9984237994322402,12,0.9988071506145388,0.0003833511822985969,30.0
Allen VBN,MM-RVD,UNIT,0.4,proportion,0.9983092237690309,12,0.9988071506145388,0.0004979268455079788,40.0
Allen VBN,MM-RVD,UNIT,0.5,proportion,0.997783101186876,12,0.9988071506145388,0.0010240494276628764,50.0
Allen VBN,SVM,CLEAN_REFERENCE,0.0,none,0.9845489210878893,12,0.9845489210878893,0.0,0.0
Allen VBN,SVM,TEMPORAL,2.0,bins,0.9826518583532654,12,0.9845489210878893,0.0018970627346238667,40.0
Allen VBN,SVM,TEMPORAL,3.0,bins,0.9802352878580649,12,0.9845489210878893,0.004313633229824365,60.0
Allen VBN,SVM,TEMPORAL,5.0,bins,0.9738035278531928,12,0.9845489210878893,0.010745393234696476,100.0
Allen VBN,SVM,TEMPORAL,7.0,bins,0.9615625339790869,12,0.9845489210878893,0.02298638710880241,140.0
Allen VBN,SVM,TEMPORAL,10.0,bins,0.9148171516987494,12,0.9845489210878893,0.06973176938913983,200.0
Allen VBN,SVM,UNIT,0.1,proportion,0.9820388131335527,12,0.9845489210878893,0.0025101079543365934,10.0
Allen VBN,SVM,UNIT,0.2,proportion,0.9792820813721265,12,0.9845489210878893,0.0052668397157628055,20.0
Allen VBN,SVM,UNIT,0.3,proportion,0.9747138545736345,12,0.9845489210878893,0.009835066514254809,30.0
Allen VBN,SVM,UNIT,0.4,proportion,0.9672461909524116,12,0.9845489210878893,0.017302730135477673,40.0
Allen VBN,SVM,UNIT,0.5,proportion,0.957996016047301,12,0.9845489210878893,0.02655290504058827,50.0
CRCNS pvc-11,CEBRA,CLEAN_REFERENCE,0.0,none,0.9909523809523808,3,0.9909523809523808,0.0,0.0
CRCNS pvc-11,CEBRA,TEMPORAL,2.0,bins,0.9906190476190476,3,0.9909523809523808,0.0003333333333331856,40.0
CRCNS pvc-11,CEBRA,TEMPORAL,3.0,bins,0.9893809523809525,3,0.9909523809523808,0.001571428571428335,60.0
CRCNS pvc-11,CEBRA,TEMPORAL,5.0,bins,0.9810476190476191,3,0.9909523809523808,0.00990476190476175,100.0
CRCNS pvc-11,CEBRA,TEMPORAL,7.0,bins,0.9759047619047619,3,0.9909523809523808,0.015047619047618865,140.0
CRCNS pvc-11,CEBRA,TEMPORAL,10.0,bins,0.9455714285714286,3,0.9909523809523808,0.04538095238095219,200.0
CRCNS pvc-11,CEBRA,UNIT,0.1,proportion,0.9892380952380951,3,0.9909523809523808,0.0017142857142856682,10.0
CRCNS pvc-11,CEBRA,UNIT,0.2,proportion,0.9825714285714285,3,0.9909523809523808,0.008380952380952267,20.0
CRCNS pvc-11,CEBRA,UNIT,0.3,proportion,0.9659999999999999,3,0.9909523809523808,0.024952380952380948,30.0
CRCNS pvc-11,CEBRA,UNIT,0.4,proportion,0.9421904761904761,3,0.9909523809523808,0.04876190476190467,40.0
CRCNS pvc-11,CEBRA,UNIT,0.5,proportion,0.8581428571428571,3,0.9909523809523808,0.1328095238095237,50.0
CRCNS pvc-11,MM-RVD,CLEAN_REFERENCE,0.0,none,0.9904761904761902,3,0.9904761904761902,0.0,0.0
CRCNS pvc-11,MM-RVD,TEMPORAL,2.0,bins,0.9897619047619046,3,0.9904761904761902,0.0007142857142855563,40.0
CRCNS pvc-11,MM-RVD,TEMPORAL,3.0,bins,0.9852380952380951,3,0.9904761904761902,0.005238095238095042,60.0
CRCNS pvc-11,MM-RVD,TEMPORAL,5.0,bins,0.9769047619047617,3,0.9904761904761902,0.013571428571428457,100.0
CRCNS pvc-11,MM-RVD,TEMPORAL,7.0,bins,0.9733333333333333,3,0.9904761904761902,0.017142857142856904,140.0
CRCNS pvc-11,MM-RVD,TEMPORAL,10.0,bins,0.9607142857142857,3,0.9904761904761902,0.029761904761904434,200.0
CRCNS pvc-11,MM-RVD,UNIT,0.1,proportion,0.9876190476190475,3,0.9904761904761902,0.0028571428571426694,10.0
CRCNS pvc-11,MM-RVD,UNIT,0.2,proportion,0.98,3,0.9904761904761902,0.010476190476190195,20.0
CRCNS pvc-11,MM-RVD,UNIT,0.3,proportion,0.9754761904761904,3,0.9904761904761902,0.014999999999999791,30.0
CRCNS pvc-11,MM-RVD,UNIT,0.4,proportion,0.973095238095238,3,0.9904761904761902,0.017380952380952164,40.0
CRCNS pvc-11,MM-RVD,UNIT,0.5,proportion,0.9514285714285714,3,0.9904761904761902,0.039047619047618776,50.0
