panel,dataset,model,CLEAN,U30,SW-U30,T5,B5,J30-5,Five-Missing Mean,Five-Missing Worst
Panel A,Allen VBN,MM-RVD,0.9988,0.9984,0.9984,0.9979,0.9953,0.9974,0.9975,0.9949
Panel A,Allen VBN,Mean-rate linear SVM,0.9845,0.9747,0.9747,0.9738,0.9690,0.9588,0.9702,0.9555
Panel A,Allen VBN,SVD64-logistic,0.8989,0.8866,0.8881,0.8713,0.8506,0.8593,0.8712,0.8349
Panel A,Allen VBN,CEBRA,0.9944,0.9790,0.9789,0.9738,0.9701,0.9181,0.9640,0.9173
Panel A,Allen VBN,GRU-D-inspired recurrent decoder,0.3435,0.0217,0.0137,0.0672,0.0462,0.0112,0.0320,0.0037
Panel A,Allen VBN,Lightweight TCN,0.8108,0.6235,0.6263,0.7337,0.6729,0.5484,0.6409,0.5383
Panel A,Allen VBN,Position-aware Lightweight Transformer decoder,0.9946,0.9826,0.9827,0.9370,0.9631,0.9009,0.9533,0.8873
Panel B,CRCNS pvc-11,MM-RVD,0.9905,0.9755,0.9755,0.9769,0.9690,0.9617,0.9717,0.9617
Panel B,CRCNS pvc-11,Mean-rate linear SVM,0.8423,0.7089,0.7089,0.8027,0.8321,0.6513,0.7408,0.6513
Panel B,CRCNS pvc-11,SVD64-logistic,0.9667,0.9444,0.9444,0.9536,0.9625,0.9086,0.9427,0.9086
Panel B,CRCNS pvc-11,CEBRA,0.9910,0.9660,0.9660,0.9810,0.9886,0.9061,0.9615,0.9061
Panel B,CRCNS pvc-11,GRU-D-inspired recurrent decoder,0.9505,0.0133,0.0133,0.1799,0.1283,0.0104,0.0690,0.0051
Panel B,CRCNS pvc-11,Lightweight TCN,0.8852,0.6254,0.6254,0.8613,0.8771,0.6042,0.7187,0.6042
Panel B,CRCNS pvc-11,Position-aware Lightweight Transformer decoder,0.9462,0.6715,0.6715,0.8819,0.9329,0.5730,0.7461,0.5730
