panel,dataset,model,CLEAN,U30,SW-U30,T5,B5,J30-5,Five-Missing Mean,Five-Missing Worst
Panel A,Allen VBN,MM-RVD,0.9988071506145388,0.9984237994322402,0.9983820337507772,0.9978665447198519,0.9953457704427796,0.9973766928930696,0.9974789682477437,0.9948957459988857
Panel A,Allen VBN,Mean-rate linear SVM,0.9845489210878893,0.9747138545736345,0.9747061553096349,0.9738035278531928,0.9690216562692887,0.9588200956744343,0.9702130579360371,0.955535507490363
Panel A,Allen VBN,SVD64-logistic,0.8989166584541634,0.8865698467245801,0.8881056670283153,0.8712955117384547,0.8505501310159441,0.8592625368329472,0.8711567386680482,0.8348996922676228
Panel A,Allen VBN,CEBRA,0.9944190576077601,0.9789672890441623,0.9789389412984874,0.9737867952401368,0.9701141477972284,0.9180946030213238,0.9639803552802677,0.917302823719165
Panel A,Allen VBN,GRU-D-inspired recurrent decoder,0.3434506850071135,0.02174168749394041,0.013741970874413192,0.0672258249316995,0.04616442924648648,0.011206329224022274,0.03201604835411236,0.0037097045612146397
Panel A,Allen VBN,Lightweight TCN,0.810816439977175,0.6234814028060164,0.626260347469003,0.7336979714117992,0.6728765973206577,0.5483526217924988,0.640933788159995,0.5383334018646437
Panel A,Allen VBN,Position-aware Lightweight Transformer decoder,0.9946481966693649,0.9825834006528905,0.9826675054561681,0.9369610153347366,0.963141310464369,0.9009482695500847,0.9532603002916499,0.8873445671325477
Panel B,CRCNS pvc-11,MM-RVD,0.9904761904761902,0.9754761904761904,0.9754761904761904,0.9769047619047617,0.969047619047619,0.9616666666666666,0.9717142857142856,0.9616666666666666
Panel B,CRCNS pvc-11,Mean-rate linear SVM,0.8422619047619048,0.7089285714285714,0.7089285714285714,0.8027380952380954,0.8321428571428572,0.6513095238095238,0.7408095238095238,0.6513095238095238
Panel B,CRCNS pvc-11,SVD64-logistic,0.9666666666666667,0.9444047619047619,0.9444047619047619,0.9535714285714286,0.9624999999999999,0.9085714285714287,0.9426904761904762,0.9085714285714287
Panel B,CRCNS pvc-11,CEBRA,0.9909523809523808,0.9659999999999999,0.9659999999999999,0.9810476190476191,0.9885714285714285,0.9060952380952382,0.9615428571428571,0.9060952380952382
Panel B,CRCNS pvc-11,GRU-D-inspired recurrent decoder,0.9504761904761905,0.013285714285714276,0.013285714285714276,0.17985714285714283,0.1283333333333333,0.010380952380952367,0.0690285714285714,0.005095238095238088
Panel B,CRCNS pvc-11,Lightweight TCN,0.8852380952380953,0.6253809523809524,0.6253809523809524,0.8612857142857143,0.8771428571428572,0.6042380952380952,0.7186857142857143,0.6042380952380952
Panel B,CRCNS pvc-11,Position-aware Lightweight Transformer decoder,0.9461904761904764,0.6714761904761904,0.6714761904761904,0.8819047619047619,0.9328571428571428,0.5730000000000001,0.7461428571428571,0.5730000000000001
