dataset,variant,CLEAN,U30,SW-U30,T5,B5,J30-5,Five-Missing Mean,Five-Missing Worst
Allen VBN,A0,0.9980623567565995,0.9977252052383611,0.9982572747384447,0.9966707502223434,0.9902790621378063,0.9957693446861274,0.9957403274046166,0.9902563074727775
Allen VBN,A1,0.9961693315239337,0.9942341506059594,0.9976224326012355,0.9929540932275145,0.98803163948328,0.9881022978848771,0.9921889227605732,0.9852113394071809
Allen VBN,A2,0.9772664513699424,0.9744721047165946,0.977668662674087,0.9708001507026337,0.9741194751498756,0.9664024434236075,0.9726925673333596,0.9635448904207101
Allen VBN,A3,0.9935173470931649,0.9895185498906746,0.9932031666345055,0.9859718726102759,0.9902790621378063,0.977784143731843,0.987351359001021,0.9762833983364342
Allen VBN,A4,0.9980623567565995,0.9954180679671113,0.9969601306942334,0.9953097987670219,0.9958261296273966,0.9800558848208735,0.9927140023753273,0.9789029243947907
Allen VBN,A5,0.9980623567565995,0.9943959497007564,0.9968745314022848,0.9946305006446473,0.9843740635983413,0.9683859547062804,0.987732200010462,0.9654014944056843
Allen VBN,A7,0.9925971741674368,0.9903575462355315,0.9945501396000831,0.9888487447083569,0.984208527370843,0.985557683097829,0.9887045282025287,0.9806329557568393
CRCNS pvc-11,A0,0.9904761904761904,0.9745238095238097,0.9904761904761905,0.9802380952380952,0.9654761904761905,0.9604761904761904,0.9742380952380953,0.9583333333333334
CRCNS pvc-11,A1,0.9380952380952382,0.9164285714285715,0.9261904761904761,0.9290476190476191,0.9042857142857142,0.9142857142857143,0.918047619047619,0.9042857142857142
CRCNS pvc-11,A2,0.9690476190476192,0.9533333333333333,0.9738095238095239,0.9638095238095238,0.9640476190476189,0.9459523809523809,0.9601904761904763,0.9459523809523809
CRCNS pvc-11,A3,0.9821428571428571,0.9502380952380952,0.975,0.9630952380952381,0.9654761904761905,0.9276190476190477,0.9562857142857143,0.9276190476190477
CRCNS pvc-11,A4,0.9904761904761904,0.9226190476190476,0.9416666666666668,0.969047619047619,0.974047619047619,0.873095238095238,0.9360952380952381,0.8595238095238095
CRCNS pvc-11,A5,0.9904761904761904,0.896904761904762,0.9130952380952381,0.9673809523809523,0.9502380952380953,0.8261904761904763,0.9107619047619048,0.7978571428571429
CRCNS pvc-11,A7,0.9833333333333334,0.9641666666666667,0.9809523809523809,0.9710714285714285,0.958452380952381,0.9527380952380953,0.9654761904761905,0.9502380952380953
