dataset,variant,endpoint,mean_delta,median_delta,n_sessions,positive_sessions
Allen VBN,A1,Five-Missing Mean,0.0035514046440432673,0.0019874720937381185,14,13
Allen VBN,A1,Five-Missing Worst,0.00504496806559663,0.0015497349569077445,14,11
Allen VBN,A2,Five-Missing Mean,0.023047760071256924,0.018819461289519945,14,14
Allen VBN,A2,Five-Missing Worst,0.02671141705206739,0.017637146472666176,14,14
Allen VBN,A3,Five-Missing Mean,0.008388968403595574,0.006766622558135538,14,14
Allen VBN,A3,Five-Missing Worst,0.01397290913634343,0.008287634847529257,14,14
Allen VBN,A4,Five-Missing Mean,0.003026325029289242,0.0017403718175824645,14,11
Allen VBN,A4,Five-Missing Worst,0.01135338307798689,0.003541918445743475,14,10
Allen VBN,A5,Five-Missing Mean,0.008008127394154463,0.004884546180777161,14,14
Allen VBN,A5,Five-Missing Worst,0.02485481306709314,0.011435808568756478,14,14
Allen VBN,A7,Five-Missing Mean,0.007035799202087856,0.005140330813066751,14,14
Allen VBN,A7,Five-Missing Worst,0.009623351715938136,0.00866878706431734,14,12
CRCNS pvc-11,A1,Five-Missing Mean,0.05619047619047631,0.054571428571428715,3,3
CRCNS pvc-11,A1,Five-Missing Worst,0.054047619047619046,0.05785714285714294,3,3
CRCNS pvc-11,A2,Five-Missing Mean,0.01404761904761905,0.011142857142857121,3,2
CRCNS pvc-11,A2,Five-Missing Worst,0.012380952380952381,0.008571428571428452,3,2
CRCNS pvc-11,A3,Five-Missing Mean,0.017952380952381015,0.012285714285714344,3,3
CRCNS pvc-11,A3,Five-Missing Worst,0.030714285714285694,0.019999999999999907,3,3
CRCNS pvc-11,A4,Five-Missing Mean,0.03814285714285718,0.039142857142857146,3,3
CRCNS pvc-11,A4,Five-Missing Worst,0.09880952380952386,0.09500000000000008,3,3
CRCNS pvc-11,A5,Five-Missing Mean,0.0634761904761905,0.06642857142857139,3,3
CRCNS pvc-11,A5,Five-Missing Worst,0.16047619047619047,0.16642857142857137,3,3
CRCNS pvc-11,A7,Five-Missing Mean,0.008761904761904749,0.004928571428571504,3,3
CRCNS pvc-11,A7,Five-Missing Worst,0.00809523809523808,0.005357142857142838,3,3
